"","nome_socio","txNomeParlamentar","nomeCivil","distancia","considerado.igual"
"528","JOSE DE RIBAMAR COSTA ALVES","RIBAMAR ALVES","JOSE DE RIBAMAR COSTA ALVES",0,TRUE
"529","AIRTON BERNARDO ROVEDA","AIRTON ROVEDA","AIRTON BERNARDO ROVEDA",0,TRUE
"530","RAIMUNDO ANTONIO DE MACEDO","RAIMUNDÃO","RAIMUNDO ANTONIO DE MACEDO",0,TRUE
"531","NERI GELLER","Neri Geller","NERI GELLER",0,TRUE
"532","LUIZ AUGUSTO CARVALHO RIBEIRO FILHO","Gustinho Ribeiro","LUIZ AUGUSTO CARVALHO RIBEIRO FILHO",0,TRUE
"533","GIVALDO VIEIRA DA SILVA","GIVALDO VIEIRA","GIVALDO VIEIRA DA SILVA",0,TRUE
"534","FRANCISCO MARCELO ORTIZ FILHO","MARCELO ORTIZ","FRANCISCO MARCELO ORTIZ FILHO",0,TRUE
"535","FERNANDO BARRANCOS CHUCRE","FERNANDO CHUCRE","FERNANDO BARRANCOS CHUCRE",0,TRUE
"536","VICENTE PAULO DA SILVA","Vicentinho","VICENTE PAULO DA SILVA",0,TRUE
"537","RAIMUNDO MAGALHAES COSTA","Raimundo Costa","RAIMUNDO MAGALHAES COSTA",0,TRUE
"538","SEBASTIAO FERREIRA DA ROCHA","SEBASTIÃO BALA ROCHA","SEBASTIAO FERREIRA DA ROCHA",0,TRUE
"539","ELIANE PONTES ROLIM","ELIANE ROLIM","ELIANE PONTES ROLIM",0,TRUE
"540","EDUARDO SALIM BRAIDE","Eduardo Braide","EDUARDO SALIM BRAIDE",0,TRUE
"541","CARLOS ALBERTO MOREIRA DE MENDONCA CANUTO","CARLOS ALBERTO CANUTO","CARLOS ALBERTO MOREIRA DE MENDONCA CANUTO",0,TRUE
"542","OZANILDA GONDIM VITAL DO REGO","NILDA GONDIM","OZANILDA GONDIM VITAL DO REGO",0,TRUE
"543","GEORGE HILTON DOS SANTOS CECILIO","GEORGE HILTON","GEORGE HILTON DOS SANTOS CECILIO",0,TRUE
"544","JOAQUIM BELTRAO SIQUEIRA","JOAQUIM BELTRÃO","JOAQUIM BELTRAO SIQUEIRA",0,TRUE
"545","JOAO JOSE DE ARRUDA JUNIOR","JOÃO ARRUDA","JOAO JOSE DE ARRUDA JUNIOR",0,TRUE
"546","PEDRO RIBEIRO FILHO","PASTOR PEDRO RIBEIRO","PEDRO RIBEIRO FILHO",0,TRUE
"547","LUCAS DE VASCONCELOS GONZALEZ","Lucas Gonzalez","LUCAS DE VASCONCELOS GONZALEZ",0,TRUE
"548","AFONSO ANTUNES DA MOTTA","Afonso Motta","AFONSO ANTUNES DA MOTTA",0,TRUE
"549","FELIX DE ALMEIDA MENDONCA","FÉLIX MENDONÇA","FELIX DE ALMEIDA MENDONCA",0,TRUE
"550","LEONARDO CARNEIRO MONTEIRO PICCIANI","LEONARDO PICCIANI","LEONARDO CARNEIRO MONTEIRO PICCIANI",0,TRUE
"551","HISSA NAGIB ABRAHAO FILHO","HISSA ABRAHÃO","HISSA NAGIB ABRAHAO FILHO",0,TRUE
"552","PEDRO FERNANDES RIBEIRO","PEDRO FERNANDES","PEDRO FERNANDES RIBEIRO",0,TRUE
"553","EDMAR DE SOUZA ARRUDA","EDMAR ARRUDA","EDMAR DE SOUZA ARRUDA",0,TRUE
"554","RAIMUNDO GOMES DE MATOS","RAIMUNDO GOMES DE MATOS","RAIMUNDO GOMES DE MATOS",0,TRUE
"555","PAULO SALIM MALUF","PAULO MALUF","PAULO SALIM MALUF",0,TRUE
"556","CARLOS FELIPE VAZQUEZ DE SOUZA LEAO","Cacá Leão","CARLOS FELIPE VAZQUEZ DE SOUZA LEAO",0,TRUE
"557","EDUARDO LUIZ BARROS BARBOSA","Eduardo Barbosa","EDUARDO LUIZ BARROS BARBOSA",0,TRUE
"558","HIRAN MANUEL GONCALVES DA SILVA","Hiran Gonçalves","HIRAN MANUEL GONCALVES DA SILVA",0,TRUE
"559","MARCIO LUIZ FRANCA GOMES","MÁRCIO FRANÇA","MARCIO LUIZ FRANCA GOMES",0,TRUE
"560","JULIO CESAR DE CARVALHO LIMA","Júlio Cesar","JULIO CESAR DE CARVALHO LIMA",0,TRUE
"561","LUZIA MARIA FERREIRA","LUZIA FERREIRA","LUZIA MARIA FERREIRA",0,TRUE
"562","HELCIO ANTONIO DA SILVA","HELCIO SILVA","HELCIO ANTONIO DA SILVA",0,TRUE
"563","JOAO BOSCO DA COSTA","Bosco Costa","JOAO BOSCO DA COSTA",0,TRUE
"564","GELSON DE AZEVEDO ALMEIDA","Gelson Azevedo","GELSON DE AZEVEDO ALMEIDA",0,TRUE
"565","ROSILDA DE FREITAS","ROSE DE FREITAS","ROSILDA DE FREITAS",0,TRUE
"566","JOSE NOBRE GUIMARAES","José Guimarães","JOSE NOBRE GUIMARAES",0,TRUE
"567","RAIMUNDO SABINO CASTELO BRANCO MAUES","SABINO CASTELO BRANCO","RAIMUNDO SABINO CASTELO BRANCO MAUES",0,TRUE
"568","PAULO ABI ACKEL","Paulo Abi-Ackel","PAULO ABI-ACKEL",2,TRUE
"569","EDUARDO HENRIQUE MAIA BISMARCK","Eduardo Bismarck","EDUARDO HENRIQUE MAIA BISMARCK",0,TRUE
"570","CANDIDO ELPIDIO DE SOUZA VACCAREZZA","CÂNDIDO VACCAREZZA","CANDIDO ELPIDIO DE SOUZA VACCAREZZA",0,TRUE
"571","ELMAR JOSE VIEIRA NASCIMENTO","Elmar Nascimento","ELMAR JOSE VIEIRA NASCIMENTO",0,TRUE
"572","ANTONIO CESAR CORREIA FREIRE","Cezinha de Madureira","ANTONIO CEZAR CORREIA FREIRE",2,TRUE
"573","PEDRO FRANCISCO UCZAI","Pedro Uczai","PEDRO FRANCISCO UCZAI",0,TRUE
"574","PAULO SERGIO ABOU ANNI","Abou Anni","PAULO SERGIO ABOU ANNI",0,TRUE
"575","LUIS ACACIO DE SOUSA JUNIOR","ACÁCIO JÚNIOR","LUIS ACACIO SOUSA JUNIOR",3,TRUE
"576","ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA","ANTHONY GAROTINHO","ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA",0,TRUE
"577","JOAO BOSCO GOMES SARAIVA","Bosco Saraiva","JOAO BOSCO GOMES SARAIVA",0,TRUE
"578","REINALDO NOGUEIRA LOPES CRUZ","REINALDO NOGUEIRA","REINALDO NOGUEIRA LOPES CRUZ",0,TRUE
"579","ANTONIO JOSE AGUIAR ALBUQUERQUE","AJ Albuquerque","ANTONIO JOSE AGUIAR ALBUQUERQUE",0,TRUE
"580","TEREZA CRISTINA CORREA DA COSTA DIAS","Tereza Cristina","TEREZA CRISTINA CORREA DA COSTA DIAS",0,TRUE
"581","LUIZ ANTONIO DE SOUZA TEIXEIRA JUNIOR","Dr. Luiz Antonio Teixeira Jr.","LUIZ ANTONIO DE SOUZA TEIXEIRA JUNIOR",0,TRUE
"582","JOSE GERARDO OLIVEIRA DE ARRUDA FILHO","ZÉ GERARDO","JOSE GERARDO OLIVEIRA DE ARRUDA FILHO",0,TRUE
"583","DAVID MICHAEL DOS SANTOS MIRANDA","David Miranda","DAVID MICHAEL DOS SANTOS MIRANDA",0,TRUE
"584","STEFANO AGUIAR DOS SANTOS","Stefano Aguiar","STEFANO AGUIAR DOS SANTOS",0,TRUE
"585","JOSE DE ANDRADE MAIA FILHO","MAIA FILHO","JOSE DE ANDRADE MAIA FILHO",0,TRUE
"586","FRANCISCO EVANGELISTA DOS SANTOS DE ARAUJO","FRANCISCO ARAÚJO","FRANCISCO EVANGELISTA DOS SANTOS DE ARAUJO",0,TRUE
"587","RUI GOETHE DA COSTA FALCAO","Rui Falcão","RUI GOETHE DA COSTA FALCAO",0,TRUE
"588","EMERSON MIGUEL PETRIV","Boca Aberta","EMERSON MIGUEL PETRIV",0,TRUE
"589","EDMILSON BRITO RODRIGUES","Edmilson Rodrigues","EDMILSON BRITO RODRIGUES",0,TRUE
"590","JOSE NELTO LAGARES DAS MERCEZ","José Nelto","JOSE NELTO LAGARES DAS MERCEZ",0,TRUE
"591","FABIO LOUREIRO SOUTO","FÁBIO SOUTO","FABIO LOUREIRO SOUTO",0,TRUE
"592","JOAO DERLY DE OLIVEIRA NUNES JUNIOR","JOÃO DERLY","JOAO DERLY DE OLIVEIRA NUNES JUNIOR",0,TRUE
"593","GUILHERME MUSSI FERREIRA","Guilherme Mussi","GUILHERME MUSSI FERREIRA",0,TRUE
"594","GABRIEL GUIMARAES DE ANDRADE","GABRIEL GUIMARÃES","GABRIEL GUIMARAES DE ANDRADE",0,TRUE
"595","FREDERICO DE CASTRO ESCALEIRA","Dr. Frederico","FREDERICO DE CASTRO ESCALEIRA",0,TRUE
"596","ARNALDO FRANCA VIANNA","ARNALDO VIANNA","ARNALDO FRANCA VIANNA",0,TRUE
"597","PEDRO DOS SANTOS LIMA GUERRA","PEDRO GUERRA","PEDRO DOS SANTOS LIMA GUERRA",0,TRUE
"598","FERNANDO BEZERRA DE SOUZA COELHO FILHO","Fernando Coelho Filho","FERNANDO BEZERRA DE SOUZA COELHO FILHO",0,TRUE
"599","PAULO GABRIEL GODINHO DELGADO","PAULO DELGADO","PAULO GABRIEL GODINHO DELGADO",0,TRUE
"600","ZACARIAS VILHARBA","VILALBA","ZACARIAS VILHARBA",0,TRUE
"601","JOICE CRISTINA HASSELMANN","Joice Hasselmann","JOICE CRISTINA HASSELMANN",0,TRUE
"602","GILLIANO FRED NASCIMENTO CUTRIM","Gil Cutrim","GILLIANO FRED NASCIMENTO CUTRIM",0,TRUE
